JockeyId,LastOff,JockeyNumberOfPriorRaces,JockeyWinPercentage,JockeyTop3Percentage,JockeyAvgRelFinishingPosition
103006,2024-10-22 15:45:00,27.0,0.0,0.03703703703703698,0.46937354116167473
103007,2024-10-17 16:45:00,5.0,0.0,0.2,0.21204496367944264
103012,2024-10-05 20:29:00,1.0,0.0,0.0,0.26666666666666666
103015,2024-10-04 14:12:00,18.0,0.05555555555555555,0.16666666666666663,0.2473096157779171
103016,2024-10-19 17:23:00,11.0,0.0,0.2727272727272727,0.5317768676689838
103026,2024-10-25 15:35:00,17.0,0.17647058823529413,0.29411764705882354,0.36558044438840837
103029,2024-10-24 15:00:00,81.0,0.06172839506172839,0.3333333333333333,0.3586083191452655
103032,2024-10-12 13:40:00,3.0,0.0,0.3333333333333333,0.3105590062111801
103034,2024-05-24 18:40:00,1.0,0.0,0.0,0.7777777777777778
103035,2024-06-29 18:02:00,1.0,0.0,0.0,1.0
103038,2024-10-06 12:30:00,3.0,0.0,0.0,0.6053921568627451
103041,2024-09-21 21:04:00,2.0,0.0,0.0,0.3846153846153846
103045,2024-10-25 19:00:00,268.0,0.10447761194029849,0.2798507462686567,0.2863744126648445
103054,2023-10-01 14:25:00,2.0,0.0,0.0,0.6
103055,2023-10-01 14:25:00,2.0,0.0,0.0,0.9
103068,2024-08-03 21:40:00,2.0,0.0,0.0,0.3718954248366013
103069,2023-10-08 20:31:00,1.0,0.0,0.0,0.6363636363636364
103073,2024-07-08 20:18:00,4.0,0.0,0.0,0.8973214285714286
103074,2023-10-12 16:45:00,1.0,0.0,0.0,0.9285714285714286
103075,2023-10-12 16:45:00,1.0,0.0,0.0,0.7142857142857143
103076,2023-10-12 16:45:00,1.0,0.0,0.0,0.5
103077,2024-09-28 16:55:00,3.0,0.0,0.0,0.42825948173297346
103078,2024-10-21 13:47:00,2.0,0.0,0.0,0.4481366459627329
103094,2024-10-18 17:20:00,15.0,0.06666666666666664,0.26666666666666666,0.2928534468899668
103102,2024-05-20 16:43:00,1.0,0.0,1.0,0.3333333333333333
103103,2024-09-28 16:10:00,7.0,0.1428571428571428,0.42857142857142855,0.22587965047919273
103104,2024-10-24 13:40:00,3.0,0.0,0.0,0.6479885057471264
103106,2024-08-13 14:30:00,5.0,0.0,0.0,0.5895238095238096
103109,2024-10-08 14:40:00,5.0,0.0,0.4,0.42638312586445365
103110,2024-08-27 19:45:00,4.0,0.0,0.0,0.4749070463744377
103114,2024-01-06 13:00:00,17.0,0.058823529411764705,0.23529411764705882,0.6214841531018002
103118,2024-01-23 13:00:00,3.0,0.0,0.3333333333333333,0.5230769230769231
103121,2024-07-02 17:50:00,8.0,0.0,0.0,0.7564482392607392
103126,2024-10-03 15:45:00,27.0,0.07407407407407406,0.1481481481481481,0.3119327288916072
103127,2024-10-25 13:41:00,22.0,0.09090909090909088,0.18181818181818177,0.3817482066645281
103131,2024-01-29 16:20:00,5.0,0.0,0.0,0.9151515151515153
103136,2023-11-09 12:15:00,1.0,0.0,0.0,0.4
103137,2024-10-05 17:25:00,7.0,0.1428571428571428,0.2857142857142857,0.2096027124427056
103140,2024-07-31 17:00:00,4.0,0.25,0.25,0.3662231559290382
103145,2023-11-11 15:30:00,1.0,0.0,1.0,0.3
