RaceId,RaceName,CourseId,CourseName,Off,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating,ResultStatus,FinishingPosition,BeatenDistance,OverallBeatenDistance,RaceTime,RaceTimeInSeconds,ForecastFractionalOdds,ForecastDecimalOdds,DaysSinceLastRun,FormFigures,PrizeMoney,PrizeMoneyValue,CardOfficialRating,CardRacingPostRating,CardTopSpeedRating,OwnerId,OwnerName,SireName,SireCountry,DamName,HeadgearFirstTime,GeldingFirstTime,WindSurgery,TrainerRtf,JockeyAllowanceLbs,JockeyFirstTime,NewTrainerRacesCount,CountryOfOrigin
925815,Wakeman Stayers Handicap,49,Ripon,09/01/2026 17:18:00,Other,Class 6,,0-65,3yo+,None,2m,16,3217,3520,Soft,Turf,4352841,Regally Blonde,102773,Jack Nicholls,13888,Ben Case,7,b,6,3,9-1,145,4/1,5,51,,,CompletedRace,4,17,23.75,00:03:45.1475000,225.1475,7/2,4.5,15,563451,"£3,664",3664,51,63,57,285745,Case Racing Partnership & Anita J Lush,Mukhadram,GB,Jolie Blonde,False,False,,43,3,False,,GB
925815,Wakeman Stayers Handicap,49,Ripon,09/01/2026 17:18:00,Other,Class 6,,0-65,3yo+,None,2m,16,3217,3520,Soft,Turf,7561591,Twilight Safari,100697,Aiden Brookes,5020,Micky Hammond,4,,1,6,10-2,162,12/1,13,63,,,CompletedRace,5,2.75,26.5,00:03:45.8350000,225.835,4/1,5,39,7-0342,"£3,664",3664,63,67,27,203272,M H O G,Mohaather,GB,Handana,False,False,,50,,False,,GB
925815,Wakeman Stayers Handicap,49,Ripon,09/01/2026 17:18:00,Other,Class 6,,0-65,3yo+,None,2m,16,3217,3520,Soft,Turf,8615815,Si White,92620,Dylan Hogan,67,Sir Mark Prescott Bt,3,v1,7,1,9-2,146,7/4F,2.75,59,,,CompletedRace,6,8.5,35,00:03:47.9600000,227.96,15/8,2.875,24,696135,"£3,664",3664,59,68,,366209,Middleham Park Racing Xxx & Chris Rees,Soldier Hollow,GB,Shana Doyenne,True,False,,50,,False,,GER
925940,Book Hotel & Conferencing At Wolverhampton Racecourse Apprentice Handicap,513,Wolverhampton (AW),09/01/2026 16:42:00,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Standard,AllWeather,5021308,Federal Envoy,103536,Donagh Murphy,41928,Charlie Clover,5,v1,3,4,9-1,145,6/4F,2.5,57,,,CompletedRace,1,0,0,00:01:28.2600000,88.26,5/1,6,16,052659,"£3,245",3245,57,79,67,146831,Odds On Syndicate,Bated Breath,GB,Caped Lady,True,False,,67,5,True,,IRE
925940,Book Hotel & Conferencing At Wolverhampton Racecourse Apprentice Handicap,513,Wolverhampton (AW),09/01/2026 16:42:00,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Standard,AllWeather,4251621,Mintana,100775,Tom Kiely-Marshall,8254,James Evans,6,p,8,7,8-10,138,40/1,41,47,,,CompletedRace,2,0.75,0.75,00:01:28.4100000,88.41,16/1,17,56,154636,"£3,245",3245,47,74,58,40424,Mrs J Evans,Havana Grey,GB,Catmint,False,False,,,,False,,GB
925940,Book Hotel & Conferencing At Wolverhampton Racecourse Apprentice Handicap,513,Wolverhampton (AW),09/01/2026 16:42:00,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Standard,AllWeather,6759105,Renewable Dream,98663,Gianluca Sanna,486,John Wainwright,4,,5,8,9-2,146,16/1,17,56,,,CompletedRace,3,0.2,1,00:01:28.4600000,88.46,7/1,8,13,90-983,"£3,245",3245,56,68,44,372974,Miss Ella Colakovic,Bated Breath,GB,Elizabeth Bennet,False,False,,33,3,False,,GB
925940,Book Hotel & Conferencing At Wolverhampton Racecourse Apprentice Handicap,513,Wolverhampton (AW),09/01/2026 16:42:00,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Standard,AllWeather,7475654,R P McMurphy,105309,Jude Maher,10363,Michael Appleby,4,p,2,2,9-0,144,12/1,13,58,,,CompletedRace,4,0.05,1,00:01:28.4600000,88.46,4/1,5,33,-31803,"£3,245",3245,58,75,62,45946,Peter Wragg,Expert Eye,GB,Danzanora,False,False,,29,7,True,,GB
925940,Book Hotel & Conferencing At Wolverhampton Racecourse Apprentice Handicap,513,Wolverhampton (AW),09/01/2026 16:42:00,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Standard,AllWeather,6803083,Nutcracker,104786,Myla Coppins,9714,Tony Carroll,4,,6,5,9-0,144,100/30,4.333333333333334,56,,,CompletedRace,5,2.75,3.75,00:01:29.0100000,89.01,3/1,4,50,733212,"£3,245",3245,56,69,56,118151,Wedgewood Estates,Outstrip,GB,Sugar Plum Fairy,False,False,,40,5,True,,GB
925940,Book Hotel & Conferencing At Wolverhampton Racecourse Apprentice Handicap,513,Wolverhampton (AW),09/01/2026 16:42:00,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Standard,AllWeather,6442162,Mythical Isle,104207,Ashley Lewis,14293,Patrick Morris,4,,7,6,9-1,145,13/2,7.5,52,,,CompletedRace,6,1,4.75,00:01:29.2100000,89.21,8/1,9,33,349175,"£3,245",3245,52,71,60,314638,Herbert Bourchier,No Nay Never,USA,Sophie P,False,False,,44,,False,,IRE
925940,Book Hotel & Conferencing At Wolverhampton Racecourse Apprentice Handicap,513,Wolverhampton (AW),09/01/2026 16:42:00,Other,Class 6,,0-60,4yo+,None,7f,7,1407,1540,Standard,AllWeather,7475651,Our Nicola,100476,William Pyle,39387,David & Nicola Barron,4,,9,3,8-9,137,20/1,21,46,,,CompletedRace,7,0.2,5,00:01:29.2600000,89.26,12/1,13,13,80-053,"£3,245",3245,46,67,30,357664,Edward Peary And Partner,Intrinsic,GB,Sciacca,False,False,,43,,False,,GB
