TrainerId,TrainerNumberOfPriorRaces,TrainerWinPercentage,TrainerTop3Percentage,TrainerAvgRelFinishingPosition
10678,48.0,0.06249999999999999,0.3125,0.5425322362822363
10680,107.0,0.037383177570093455,0.37383177570093457,0.37081811263321457
10688,28.0,0.07142857142857142,0.2857142857142857,0.5427386105957536
10697,54.0,0.12962962962962962,0.4074074074074074,0.587739164128053
10702,88.0,0.03409090909090909,0.2159090909090909,0.58603002307773
10704,129.0,0.10077519379844961,0.26356589147286824,0.5910169488338167
10738,24.0,0.125,0.2916666666666667,0.5848939255189255
10749,68.0,0.07352941176470588,0.25,0.5622653017776859
10806,67.0,0.1044776119402985,0.3880597014925373,0.501570089158463
10850,2.0,0.5,0.5,0.44047619047619047
10903,1.0,0.0,1.0,0.0
10925,17.0,0.0,0.11764705882352941,0.561136196560072
10977,3.0,0.0,0.3333333333333333,0.3975044563279857
11013,59.0,0.06779661016949153,0.1864406779661017,0.6416133689064895
11039,38.0,0.10526315789473684,0.42105263157894735,0.4928935099987731
11057,3.0,0.0,0.0,0.5863247863247864
11058,1.0,0.0,1.0,0.42857142857142855
11069,1.0,0.0,0.0,1.0
11107,1.0,0.0,0.0,0.8571428571428571
11130,1.0,0.0,0.0,0.5555555555555556
11146,1.0,0.0,0.0,0.375
11159,48.0,0.08333333333333333,0.22916666666666666,0.5629229855792356
11161,3.0,0.3333333333333333,0.6666666666666666,0.23313492063492067
11227,2.0,0.0,0.0,0.7215909090909092
11260,1.0,0.0,0.0,0.875
11275,29.0,0.034482758620689655,0.13793103448275862,0.640917655141793
11280,1.0,0.0,0.0,0.8333333333333334
11283,2.0,0.0,0.0,0.75
11290,20.0,0.0,0.4,0.36645833333333333
11318,1.0,0.0,0.0,0.8666666666666667
11323,7.0,0.2857142857142857,0.42857142857142855,0.3150484436198721
11363,176.0,0.09659090909090909,0.26704545454545453,0.5504646486554381
11369,1.0,0.0,0.0,0.8
11398,1.0,0.0,1.0,0.25
11400,10.0,0.2,0.5,0.28642316017316016
11422,2.0,0.5,1.0,0.25
11448,4.0,0.0,0.25,0.638014763014763
11472,25.0,0.24,0.44,0.38096547896547905
11477,4.0,0.0,0.25,0.48859994172494176
11481,32.0,0.03125,0.15625,0.499619391025641
11484,51.0,0.0784313725490196,0.3333333333333333,0.5559479191832133
11575,1.0,0.0,0.0,0.6666666666666666
11579,69.0,0.08695652173913043,0.2608695652173913,0.5189641974488521
11584,19.0,0.0,0.3684210526315789,0.4352953324172975
11585,8.0,0.0,0.25,0.6151098901098901
11586,5.0,0.0,0.4,0.385
11599,12.0,0.0,0.08333333333333333,0.5395230865625602
11681,5.0,0.2,0.4,0.4154212454212455
11720,10.0,0.1,0.3,0.5286647992530344
11741,2.0,0.0,0.0,0.916083916083916
11752,1.0,0.0,1.0,0.0
11785,2.0,0.0,0.0,0.5904761904761905
11792,15.0,0.13333333333333333,0.4666666666666667,0.5635161135161136
11817,19.0,0.15789473684210525,0.47368421052631576,0.4698887369940002
11825,5.0,0.0,0.0,0.9111111111111111
11876,66.0,0.15151515151515152,0.45454545454545453,0.5228048887139796
11899,1.0,0.0,0.0,0.7
11927,1.0,1.0,1.0,0.14285714285714285
11945,20.0,0.0,0.25,0.42303571428571435
11961,18.0,0.1111111111111111,0.5,0.44738448280114945
11963,2.0,0.0,0.0,0.9166666666666667
11973,10.0,0.0,0.2,0.4913546176046176
12007,5.0,0.0,0.0,0.7744444444444445
12012,1.0,0.0,0.0,0.5714285714285714
12020,1.0,0.0,1.0,0.0
12052,47.0,0.06382978723404255,0.23404255319148937,0.42501157582509286
12057,142.0,0.1267605633802817,0.33098591549295775,0.5569448803304302
12068,48.0,0.020833333333333332,0.1875,0.5989815375345267
12069,1.0,0.0,0.0,1.0
12090,3.0,0.0,0.0,0.8888888888888888
12102,60.0,0.08333333333333333,0.25,0.6594556206320912
12112,1.0,0.0,0.0,0.625
12117,2.0,0.0,0.5,0.3333333333333333
12125,96.0,0.07291666666666666,0.3229166666666667,0.5735914606227106
12127,11.0,0.18181818181818182,0.6363636363636364,0.3043872594709915
12157,41.0,0.04878048780487805,0.0975609756097561,0.5525350665594567
12158,6.0,0.0,0.16666666666666666,0.4293981481481482
12193,10.0,0.0,0.1,0.8153904428904429
12194,3.0,0.3333333333333333,0.6666666666666666,0.2989417989417989
