RaceId,RaceName,CourseId,CourseName,RaceType,Class,Pattern,RatingBand,AgeBand,SexRestriction,Distance,DistanceInFurlongs,DistanceInMeters,DistanceInYards,Going,Surface,HorseId,HorseName,JockeyId,JockeyName,TrainerId,TrainerName,Age,HeadGear,RaceCardNumber,StallNumber,Weight,WeightInPounds,FractionalOdds,DecimalOdds,OfficialRating,RacingPostRating,TopSpeedRating
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3695504,Sandy Paradise,91857,Daniel Muscutt,28787,Richard Hannon,3,,2,8,9-10,154,SP,,61,72,55
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3789365,Manshoodah,100640,Benoit De La Sayette,16112,Ismail Mohammed,3,,3,3,9-10,154,SP,,61,71,46
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3550636,Aurelia Gold,95208,William Cox,12600,Brett Johnson,3,,4,4,9-7,151,SP,,58,67,43
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3483746,Due A Rum,98519,Cieren Fallon,18920,Eve Johnson Houghton,3,h,5,7,9-5,149,SP,,56,62,41
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3699107,Klip Klopp,78935,Tom Queally,7833,Gary Moore,3,b,6,2,9-3,147,SP,,54,71,
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3687275,Shut Up And Dance,100350,Saffie Osborne,13955,Jamie Osborne,3,,7,1,9-0,144,SP,,51,76,67
813789,Best Odds Guaranteed At bet365 Handicap,7,Brighton,Other,Class 6,,0-60,3yo,None,1m2f,10,2010,2200,Good To Firm,Turf,3719565,Rita Rana,86570,Trevor Whelan,32235,Adam West,3,,8,6,8-13,141,SP,,50,72,63
813786,bet365 Maiden Stakes (GBB Race),7,Brighton,Other,Class 5,,,3yo+,None,7f,7,1407,1540,Good To Firm,Turf,3671733,Positive Impact,89973,Ross Coakley,37478,Simon & Ed Crisford,3,,2,2,9-7,151,SP,,86,94,74
813786,bet365 Maiden Stakes (GBB Race),7,Brighton,Other,Class 5,,,3yo+,None,7f,7,1407,1540,Good To Firm,Turf,4031467,Lady Spiritus,84857,Luke Morris,30178,Charlie Wallis,3,,3,1,9-2,146,SP,,,22,
813791,Each Way Extra At bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo,None,7f,7,1407,1540,Good To Firm,Turf,3634785,King Of War,100640,Benoit De La Sayette,27500,Alexandra Dunn,3,t,1,6,9-12,156,SP,,68,78,68
813791,Each Way Extra At bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo,None,7f,7,1407,1540,Good To Firm,Turf,3366784,Days Like This,94855,Cameron Noble,3609,Rae Guest,3,,2,7,9-11,155,SP,,67,68,43
813791,Each Way Extra At bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo,None,7f,7,1407,1540,Good To Firm,Turf,3721419,Sun Emperor,89973,Ross Coakley,12601,Jonathan Portman,3,,3,2,9-9,153,SP,,65,77,44
813791,Each Way Extra At bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo,None,7f,7,1407,1540,Good To Firm,Turf,3626714,My Boy Jack,13699,Neil Callan,32765,Tom Clover,3,v,4,3,9-6,150,SP,,62,76,38
813791,Each Way Extra At bet365 Handicap,7,Brighton,Other,Class 6,,0-65,3yo,None,7f,7,1407,1540,Good To Firm,Turf,3666408,Quel Kaima,98301,Marco Ghiani,17966,William Knight,3,v,5,1,9-2,146,SP,,58,73,40
