FoldDate,Algorithm,RaceId,HorseId,CourseName,Surface,Going,RaceType,DistanceInMeters,FinishingPosition,DecimalOdds,PredictedScore,WinProbability,FieldSize,RaceClass
2026-05-11,AbstainWrapperGapAlgorithm,920339,3970580,Killarney (IRE),Turf,Good To Yielding,SteepleChase,4122,1,11.0,,0.1383211,7,
2026-05-11,AbstainWrapperGapAlgorithm,920339,4173263,Killarney (IRE),Turf,Good To Yielding,SteepleChase,4122,2,8.5,,0.2770548,7,
2026-05-11,AbstainWrapperGapAlgorithm,920339,3087843,Killarney (IRE),Turf,Good To Yielding,SteepleChase,4122,3,4.0,,0.10306497,7,
2026-05-11,AbstainWrapperGapAlgorithm,920339,4042159,Killarney (IRE),Turf,Good To Yielding,SteepleChase,4122,4,6.0,,0.17342483,7,
2026-05-11,AbstainWrapperGapAlgorithm,920339,4994572,Killarney (IRE),Turf,Good To Yielding,SteepleChase,4122,5,67.0,,0.04767091,7,
2026-05-11,AbstainWrapperGapAlgorithm,920339,2910575,Killarney (IRE),Turf,Good To Yielding,SteepleChase,4122,6,2.375,,0.396675,7,
2026-05-11,AbstainWrapperGapAlgorithm,920339,3072057,Killarney (IRE),Turf,Good To Yielding,SteepleChase,4122,7,51.0,,0.07173721,7,
2026-05-11,AbstainWrapperGapAlgorithm,917512,5864581,Southwell,Turf,Good,SteepleChase,4926,1,4.333333333333334,,0.16857614,6,Class 5
2026-05-11,AbstainWrapperGapAlgorithm,917512,5343986,Southwell,Turf,Good,SteepleChase,4926,2,2.25,,0.16567722,6,Class 5
2026-05-11,AbstainWrapperGapAlgorithm,917512,5113799,Southwell,Turf,Good,SteepleChase,4926,3,15.0,,0.09786077,6,Class 5
2026-05-11,AbstainWrapperGapAlgorithm,917512,5385907,Southwell,Turf,Good,SteepleChase,4926,4,11.0,,0.24716279,6,Class 5
2026-05-11,AbstainWrapperGapAlgorithm,917512,4231725,Southwell,Turf,Good,SteepleChase,4926,5,41.0,,0.06927573,6,Class 5
2026-05-11,AbstainWrapperGapAlgorithm,917512,6868950,Southwell,Turf,Good,SteepleChase,4926,6,5.5,,0.3105123,6,Class 5
2026-05-11,AbstainWrapperGapAlgorithm,917515,7051293,Southwell,Turf,Good,SteepleChase,4122,1,3.5,,0.33138132,4,Class 4
2026-05-11,AbstainWrapperGapAlgorithm,917515,5633095,Southwell,Turf,Good,SteepleChase,4122,2,2.875,,0.41241115,4,Class 4
2026-05-11,AbstainWrapperGapAlgorithm,917515,5728000,Southwell,Turf,Good,SteepleChase,4122,3,10.0,,0.23342648,4,Class 4
2026-05-11,AbstainWrapperGapAlgorithm,917515,5385931,Southwell,Turf,Good,SteepleChase,4122,4,4.333333333333334,,0.14354858,4,Class 4
2026-05-10,AbstainWrapperAlgorithm,919781,7475606,Cork (IRE),Turf,Good,Hurdle,3518,1,13.0,,0.20921405,7,
2026-05-10,AbstainWrapperAlgorithm,919781,7551784,Cork (IRE),Turf,Good,Hurdle,3518,2,13.0,,0.13568538,7,
2026-05-10,AbstainWrapperAlgorithm,919781,4954069,Cork (IRE),Turf,Good,Hurdle,3518,3,3.5,,0.13004039,7,
2026-05-10,AbstainWrapperAlgorithm,919781,5806731,Cork (IRE),Turf,Good,Hurdle,3518,4,11.0,,0.13918748,7,
